player_name,nation_raw,position,club,age,born,nineties,goals,shots,shots_on_target,SoT%,shots_per90,sot_per90,goals_per_shot,goals_per_sot,avg_shot_distance,free_kicks,penalty_goals,penalty_attempts,xg,npxg,npxg_per_shot,g_minus_xg,npg_minus_npxg,nation_code,season,league,player_key,club_key,position_group,nation,age_pass,nineties_pass,passes_completed_total,passes_attempted_total,pass_completion_total_pct,pass_total_distance,pass_progressive_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,a_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,position_group_pass,age_def,born_def,nineties_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,tackles_vs_dribblers,dribbles_faced,tackle_success_pct,dribbles_lost,blocks,blocks_shots,blocks_passes,interceptions,tackles_plus_interceptions,clearances,errors_leading_to_shot,position_group_def,age_poss,born_poss,nineties_poss,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,takeons_attempted,takeons_succeeded,takeons_success_pct,takeons_tackled,takeons_tackled_pct,carries,carries_total_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position_group_poss,player_name_tm,club_tm,position_tm,market_value_eur,market_value_millions,player_name_final,club_final,raw_attacking,raw_progression,raw_creation,raw_defensive,raw_mistakes,z_raw_attacking,z_raw_progression,z_raw_creation,z_raw_defensive,z_raw_mistakes,performance_index,perf_rank_pct,value_rank_pct,undervaluation_delta,valuation_category
Tyler Adams,us USA,MF,Bournemouth,25.0,1999.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,USA,2024-25,Premier League,tyler adams,bournemouth,MF,us USA,25.0,21.8,902.0,1069.0,84.4,14322.0,3525.0,437.0,489.0,89.4,393.0,443.0,88.7,38.0,65.0,58.5,3.0,1.0,0.8,2.0,18.0,67.0,4.0,1.0,76.0,MF,25.0,1999.0,21.8,83.0,50.0,26.0,49.0,8.0,39.0,72.0,54.2,33.0,33.0,10.0,23.0,32.0,115.0,42.0,0.0,MF,25.0,1999.0,21.8,1337.0,62.0,349.0,779.0,224.0,18.0,1337.0,18.0,4.0,22.2,10.0,55.6,663.0,3337.0,1447.0,14.0,22.0,1.0,28.0,12.0,757.0,10.0,MF,Tyler Adams,Bournemouth,Defensive Midfield,18000000.0,18.0,Tyler Adams,Bournemouth,0.0734,4.1284,0.1835,8.7156,1.8349,-0.6908131740313302,-0.5798794746716205,-0.13407244206802835,1.0698039294063424,-0.29119152750002514,-0.029,0.4454,0.3277,0.1176,Fair Value
Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997.0,15.7,1,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0,0,0,0.9,0.9,0.07,0.1,0.1,ENG,2024-25,Premier League,tosin adarabioyo,chelsea,DF,eng ENG,26.0,15.7,1079.0,1184.0,91.1,19805.0,7144.0,406.0,425.0,95.5,603.0,636.0,94.8,66.0,109.0,60.6,1.0,0.2,0.2,0.8,1.0,62.0,1.0,0.0,42.0,DF,26.0,1997.0,15.7,17.0,13.0,11.0,6.0,0.0,8.0,12.0,66.7,4.0,9.0,7.0,2.0,11.0,28.0,80.0,0.0,DF,26.0,1997.0,15.7,1330.0,175.0,630.0,674.0,27.0,14.0,1330.0,6.0,4.0,66.7,1.0,16.7,777.0,3207.0,1809.0,5.0,2.0,0.0,4.0,0.0,1000.0,1.0,DF,Tosin Adarabioyo,Chelsea,Centre-Back,20000000.0,20.0,Tosin Adarabioyo,Chelsea,0.121,2.9936,0.0764,7.4522,0.2548,-0.5259986928432346,-1.073016276976978,-0.7271697082110232,0.5814232888488894,-1.327203246762263,0.3288,0.3556,0.4515,-0.0959,Fair Value
Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,2002.0,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,CIV,2024-25,Premier League,simon adingra,brighton,MF,ci CIV,22.0,12.2,290.0,382.0,75.9,4148.0,820.0,187.0,217.0,86.2,81.0,109.0,74.3,16.0,29.0,55.2,2.0,2.5,2.8,-0.5,16.0,5.0,17.0,6.0,18.0,MF,22.0,2002.0,12.2,23.0,14.0,10.0,8.0,5.0,10.0,26.0,38.5,16.0,12.0,0.0,12.0,8.0,31.0,6.0,2.0,MF,22.0,2002.0,12.2,548.0,10.0,66.0,174.0,315.0,76.0,548.0,50.0,21.0,42.0,27.0,54.0,366.0,2514.0,1300.0,50.0,21.0,27.0,39.0,12.0,388.0,136.0,MF,Simon Adingra,Brighton,Left Winger,28000000.0,28.0,Simon Adingra,Brighton,0.3689,5.5738,0.3689,4.0164,4.1803,0.33167809786166347,0.048195362165724,0.8928962362718212,-0.7467700829169224,1.2466556410041052,-0.0838,0.3613,0.5168,-0.1555,Overvalued
Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,CIV,2024-25,Premier League,emmanuel agbadou,wolves,DF,ci CIV,27.0,15.7,855.0,1001.0,85.4,17344.0,6203.0,276.0,299.0,92.3,466.0,501.0,93.0,107.0,181.0,59.1,0.0,0.2,0.3,-0.2,4.0,40.0,1.0,0.0,31.0,DF,27.0,1997.0,15.7,30.0,19.0,21.0,9.0,0.0,13.0,20.0,65.0,7.0,19.0,13.0,6.0,12.0,42.0,90.0,0.0,DF,27.0,1997.0,15.7,1172.0,190.0,649.0,504.0,28.0,7.0,1172.0,13.0,10.0,76.9,2.0,15.4,758.0,3670.0,1752.0,6.0,4.0,0.0,6.0,4.0,796.0,2.0,DF,Emmanuel Agbadou,Wolves,Centre-Back,20000000.0,20.0,Emmanuel Agbadou,Wolves,0.1146,2.3567,0.0127,9.6178,0.6369,-0.5480413657874094,-1.3498026387240636,-1.080049631844137,1.4185827032364577,-1.0766294063785709,0.8031,0.7481,0.4515,0.2967,Undervalued
Ola Aina,ng NGA,DF,Nottm Forest,27.0,1996.0,33.3,2,11,2,18.2,0.33,0.06,0.18,1.0,26.1,0,0,0,0.6,0.6,0.06,1.4,1.4,NGA,2024-25,Premier League,ola aina,nottm forest,DF,ng NGA,27.0,33.3,994.0,1352.0,73.5,15371.0,6297.0,530.0,598.0,88.6,374.0,502.0,74.5,57.0,166.0,34.3,1.0,1.4,2.2,-0.4,16.0,85.0,23.0,11.0,107.0,DF,27.0,1996.0,33.3,55.0,42.0,39.0,15.0,1.0,36.0,64.0,56.3,28.0,34.0,12.0,22.0,33.0,88.0,115.0,4.0,DF,27.0,1996.0,33.3,1708.0,156.0,613.0,717.0,409.0,22.0,1708.0,72.0,33.0,45.8,27.0,37.5,749.0,4798.0,2787.0,67.0,46.0,10.0,44.0,22.0,823.0,67.0,DF,Ola Aina,Nottm Forest,Right-Back,22000000.0,22.0,Ola Aina,Nottm Forest,0.0781,5.2252,0.0721,7.1171,1.982,-0.6746047011305388,-0.10326658253155906,-0.7513308561354526,0.45187874777778736,-0.1947298840671977,0.2536,0.2889,0.4888,-0.1999,Overvalued
Rayan Aït-Nouri,dz ALG,DF,Wolves,23.0,2001.0,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3,ALG,2024-25,Premier League,rayan ait-nouri,wolves,DF,dz ALG,23.0,34.5,1449.0,1721.0,84.2,19837.0,5926.0,897.0,959.0,93.5,435.0,499.0,87.2,48.0,118.0,40.7,7.0,5.5,4.0,1.5,46.0,77.0,30.0,10.0,108.0,DF,23.0,2001.0,34.5,89.0,57.0,52.0,28.0,9.0,43.0,70.0,61.4,27.0,42.0,6.0,36.0,26.0,115.0,75.0,2.0,DF,23.0,2001.0,34.5,2148.0,96.0,577.0,916.0,685.0,96.0,2148.0,137.0,63.0,46.0,56.0,40.9,1129.0,6166.0,3205.0,89.0,62.0,28.0,52.0,47.0,1321.0,176.0,DF,Rayan Aït-Nouri,Wolves,Left-Back,35000000.0,35.0,Rayan Aït-Nouri,Wolves,0.1942,5.7101,0.3623,6.7246,2.8696,-0.27273157530494846,0.1074574988916061,0.8566985867045612,0.3001577089595965,0.38723023215282515,0.2027,0.2593,0.7612,-0.5019,Overvalued
Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998.0,16.0,0,9,3,33.3,0.56,0.19,0.0,0.0,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,NOR,2024-25,Premier League,kristoffer ajer,brentford,DF,no NOR,26.0,16.0,504.0,644.0,78.3,7868.0,2831.0,260.0,299.0,87.0,199.0,248.0,80.2,27.0,54.0,50.0,0.0,1.2,0.5,-1.2,8.0,44.0,7.0,4.0,56.0,DF,26.0,1998.0,16.0,26.0,18.0,14.0,11.0,1.0,14.0,27.0,51.9,13.0,17.0,4.0,13.0,12.0,38.0,50.0,0.0,DF,26.0,1998.0,16.0,795.0,53.0,265.0,368.0,168.0,38.0,795.0,16.0,7.0,43.8,8.0,50.0,387.0,2098.0,1180.0,27.0,11.0,2.0,15.0,12.0,491.0,44.0,DF,Kristoffer Ajer,Brentford,Centre-Back,16000000.0,16.0,Kristoffer Ajer,Brentford,0.0625,5.1875,0.075,6.5625,1.6875,-0.7285157505178401,-0.11966025223436078,-0.7351095064927684,0.23748003679811439,-0.3878123597404837,0.1273,0.1926,0.3881,-0.1955,Overvalued
Manuel Akanji,ch SUI,DF,Man City,29.0,1995.0,22.4,0,15,2,13.3,0.67,0.09,0.0,0.0,14.7,0,0,0,1.6,1.6,0.1,-1.6,-1.6,SUI,2024-25,Premier League,manuel akanji,man city,DF,ch SUI,29.0,22.4,1632.0,1744.0,93.6,27046.0,7578.0,776.0,812.0,95.6,757.0,795.0,95.2,84.0,113.0,74.3,0.0,0.4,1.3,-0.4,9.0,177.0,11.0,2.0,158.0,DF,29.0,1995.0,22.4,19.0,12.0,12.0,4.0,3.0,11.0,17.0,64.7,6.0,11.0,8.0,3.0,9.0,28.0,64.0,3.0,DF,29.0,1995.0,22.4,1881.0,119.0,559.0,920.0,405.0,19.0,1881.0,2.0,2.0,100.0,0.0,0.0,1254.0,6953.0,4234.0,46.0,64.0,0.0,5.0,5.0,1483.0,7.0,DF,Manuel Akanji,Man City,Centre-Back,28000000.0,28.0,Manuel Akanji,Man City,0.0714,9.1071,0.0179,4.5982,0.4464,-0.6976166464800236,1.5836385344347794,-1.0516932094093332,-0.5218552093401893,-1.2015434488317507,0.0442,0.1407,0.6604,-0.5197,Overvalued
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,1998.0,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,23.6,3,0,0,1.9,1.9,0.04,1.1,1.1,ENG,2024-25,Premier League,trent alexander-arnold,liverpool,DF,eng ENG,25.0,26.3,1448.0,1971.0,73.5,27901.0,11363.0,632.0,704.0,89.8,589.0,771.0,76.4,203.0,418.0,48.6,6.0,7.3,7.4,-1.3,52.0,207.0,65.0,20.0,232.0,DF,25.0,1998.0,26.3,72.0,50.0,44.0,19.0,9.0,49.0,105.0,46.7,56.0,26.0,9.0,17.0,31.0,103.0,55.0,4.0,DF,25.0,1998.0,26.3,2253.0,88.0,593.0,1014.0,660.0,44.0,2253.0,37.0,17.0,45.9,17.0,45.9,1184.0,5358.0,2860.0,51.0,36.0,9.0,19.0,15.0,1436.0,94.0,DF,Trent Alexander-Arnold,Liverpool,Right-Back,75000000.0,75.0,Trent Alexander-Arnold,Liverpool,0.1863,10.7605,0.5057,6.9962,1.2928,-0.30004034205427976,2.3020934649351994,1.651079967225076,0.4051348547970224,-0.6466205598899534,0.9086,0.8296,0.9776,-0.148,Fair Value
Edson Álvarez,mx MEX,MF,West Ham,26.0,1997.0,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,MEX,2024-25,Premier League,edson alvarez,west ham,MF,mx MEX,26.0,19.7,861.0,1003.0,85.8,14393.0,4200.0,424.0,475.0,89.3,361.0,402.0,89.8,66.0,92.0,71.7,1.0,0.8,0.9,0.2,12.0,92.0,12.0,3.0,85.0,MF,26.0,1997.0,19.7,50.0,27.0,27.0,15.0,8.0,17.0,35.0,48.6,18.0,23.0,8.0,15.0,18.0,68.0,46.0,1.0,MF,26.0,1997.0,19.7,1239.0,67.0,361.0,693.0,194.0,12.0,1239.0,33.0,14.0,42.4,14.0,42.4,687.0,3783.0,1714.0,24.0,22.0,2.0,27.0,15.0,830.0,18.0,MF,Edson Álvarez,West Ham,Defensive Midfield,25000000.0,25.0,Edson Álvarez,West Ham,0.0203,5.533,0.0914,6.9543,2.132,-0.8745414655391958,0.030476152039066964,-0.6444130966787905,0.38894411623663877,-0.09638115093509142,-0.1699,0.2941,0.4622,-0.1681,Overvalued
Joachim Andersen,dk DEN,DF,Fulham,28.0,1996.0,28.7,0,19,4,21.1,0.66,0.14,0.0,0.0,15.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0,DEN,2024-25,Premier League,joachim andersen,fulham,DF,dk DEN,28.0,28.7,1654.0,2000.0,82.7,36471.0,14436.0,456.0,497.0,91.8,918.0,985.0,93.2,269.0,487.0,55.2,0.0,0.5,0.5,-0.5,4.0,196.0,6.0,3.0,112.0,DF,28.0,1996.0,28.7,27.0,18.0,20.0,6.0,1.0,15.0,24.0,62.5,9.0,37.0,28.0,9.0,34.0,61.0,188.0,1.0,DF,28.0,1996.0,28.7,2336.0,340.0,1233.0,1013.0,102.0,22.0,2336.0,6.0,4.0,66.7,0.0,0.0,1350.0,6505.0,3435.0,16.0,14.0,1.0,6.0,3.0,1621.0,2.0,DF,Joachim Andersen,Fulham,Centre-Back,27000000.0,27.0,Joachim Andersen,Fulham,0.0348,4.4599,0.0174,9.9652,0.3136,-0.8242276093666862,-0.4358289975125206,-1.0541061949498558,1.5528473561895775,-1.2886422318367818,1.0992,0.8963,0.6343,0.262,Undervalued
Elliot Anderson,eng ENG,MF,Nottm Forest,21.0,2002.0,30.3,2,40,7,17.5,1.32,0.23,0.05,0.29,18.8,0,0,0,2.1,2.1,0.05,-0.1,-0.1,ENG,2024-25,Premier League,elliot anderson,nottm forest,MF,eng ENG,21.0,30.3,1085.0,1386.0,78.3,17458.0,5922.0,572.0,640.0,89.4,402.0,496.0,81.0,77.0,165.0,46.7,6.0,3.3,3.6,2.7,37.0,121.0,19.0,2.0,143.0,MF,21.0,2002.0,30.3,92.0,56.0,54.0,29.0,9.0,48.0,111.0,43.2,63.0,48.0,9.0,39.0,31.0,123.0,76.0,4.0,MF,21.0,2002.0,30.3,1832.0,102.0,424.0,891.0,547.0,72.0,1832.0,75.0,36.0,48.0,30.0,40.0,932.0,5071.0,2366.0,52.0,32.0,21.0,60.0,49.0,1089.0,95.0,MF,Elliot Anderson,Nottm Forest,Central Midfield,32000000.0,32.0,Elliot Anderson,Nottm Forest,0.1353,6.4356,0.3069,8.1518,3.5974,-0.47652998788601075,0.42272626006816283,0.5498363520652445,0.8518626725687328,0.864421965526565,0.2972,0.7311,0.6008,0.1303,Fair Value
André,br BRA,MF,Wolves,23.0,2001.0,27.5,0,10,1,10.0,0.36,0.04,0.0,0.0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,BRA,2024-25,Premier League,andre,wolves,MF,br BRA,23.0,27.5,1247.0,1342.0,92.9,19660.0,5471.0,646.0,677.0,95.4,475.0,500.0,95.0,80.0,98.0,81.6,0.0,0.8,0.7,-0.8,18.0,111.0,5.0,0.0,109.0,MF,23.0,2001.0,27.5,91.0,55.0,41.0,41.0,9.0,37.0,63.0,58.7,26.0,42.0,8.0,34.0,37.0,128.0,30.0,1.0,MF,23.0,2001.0,27.5,1623.0,89.0,439.0,1046.0,155.0,3.0,1623.0,32.0,16.0,50.0,12.0,37.5,912.0,3764.0,1688.0,10.0,17.0,0.0,30.0,21.0,1093.0,11.0,MF,André,Wolves,Defensive Midfield,28000000.0,28.0,André,Wolves,0.0145,4.3273,0.0291,7.2727,1.8545,-0.8944720292954941,-0.4934759602716262,-0.9894557314495995,0.5120330700092778,-0.27828596462277105,-0.3845,0.1429,0.5168,-0.3739,Overvalued
Cameron Archer,eng ENG,FW,Southampton,23.0,2001.0,16.0,2,28,10,35.7,1.75,0.62,0.07,0.2,12.8,0,0,1,5.7,4.9,0.18,-3.7,-2.9,ENG,2024-25,Premier League,cameron archer,southampton,FW,eng ENG,23.0,16.0,205.0,251.0,81.7,2612.0,367.0,131.0,151.0,86.8,54.0,59.0,91.5,5.0,9.0,55.6,0.0,0.5,0.7,-0.5,5.0,7.0,7.0,0.0,14.0,FW,23.0,2001.0,16.0,13.0,8.0,8.0,3.0,2.0,2.0,9.0,22.2,7.0,5.0,1.0,4.0,2.0,15.0,11.0,0.0,FW,23.0,2001.0,16.0,398.0,16.0,69.0,179.0,154.0,52.0,397.0,37.0,15.0,40.5,20.0,54.1,226.0,1182.0,564.0,22.0,10.0,14.0,40.0,26.0,274.0,66.0,FW,Cameron Archer,Southampton,Centre-Forward,15000000.0,15.0,Cameron Archer,Southampton,0.4312,2.25,0.0312,1.9375,4.125,0.547617246243977,-1.3961643543167004,-0.9774939040382633,-1.5504093154729823,1.2103789159567528,-0.5166,0.0465,0.186,-0.1395,Fair Value
Joe Aribo,ng NGA,"MF,DF",Southampton,28.0,1996.0,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,0.3,0.3,NGA,2024-25,Premier League,joe aribo,southampton,DF,ng NGA,28.0,22.4,929.0,1046.0,88.8,13689.0,2630.0,514.0,563.0,91.3,357.0,391.0,91.3,31.0,45.0,68.9,0.0,1.6,1.3,-1.6,16.0,51.0,4.0,1.0,75.0,DF,28.0,1996.0,22.4,47.0,33.0,17.0,24.0,6.0,17.0,35.0,48.6,18.0,28.0,11.0,17.0,20.0,67.0,32.0,3.0,DF,28.0,1996.0,22.4,1271.0,52.0,313.0,670.0,299.0,44.0,1271.0,49.0,21.0,42.9,22.0,44.9,745.0,4068.0,2021.0,36.0,29.0,12.0,27.0,19.0,925.0,65.0,DF,Joe Aribo,Southampton,Central Midfield,6000000.0,6.0,Joe Aribo,Southampton,0.2545,4.9554,0.0714,5.6696,2.0536,-0.06418501370478771,-0.220538995863968,-0.7548959879250536,-0.10767234781020524,-0.14779095936104514,-0.1383,0.0889,0.1679,-0.079,Fair Value
Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,2,25,7,28.0,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,ENG,2024-25,Premier League,adam armstrong,southampton,MF,eng ENG,27.0,13.9,231.0,288.0,80.2,3320.0,446.0,138.0,158.0,87.3,81.0,95.0,85.3,6.0,13.0,46.2,2.0,1.2,0.6,0.8,9.0,10.0,8.0,2.0,21.0,MF,27.0,1997.0,13.9,12.0,3.0,2.0,7.0,3.0,3.0,14.0,21.4,11.0,6.0,1.0,5.0,3.0,15.0,8.0,0.0,MF,27.0,1997.0,13.9,377.0,11.0,44.0,143.0,192.0,49.0,376.0,14.0,6.0,42.9,8.0,57.1,235.0,1324.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,MF,Adam Armstrong,Southampton,Centre-Forward,9000000.0,9.0,Adam Armstrong,Southampton,0.3094,3.3094,0.2302,2.0863,2.0863,0.12576667262840727,-0.9358178573771638,0.12481951748158801,-1.4928756410026602,-0.12631159206967607,-0.6317,0.0588,0.0924,-0.0336,Fair Value
Yasin Ayari,se SWE,MF,Brighton,20.0,2003.0,21.8,2,28,8,28.6,1.28,0.37,0.07,0.25,18.7,2,0,0,2.4,2.4,0.09,-0.4,-0.4,SWE,2024-25,Premier League,yasin ayari,brighton,MF,se SWE,20.0,21.8,793.0,973.0,81.5,11915.0,3328.0,465.0,509.0,91.4,269.0,319.0,84.3,40.0,98.0,40.8,1.0,2.3,2.6,-1.3,30.0,55.0,18.0,4.0,75.0,MF,20.0,2003.0,21.8,59.0,32.0,15.0,31.0,13.0,26.0,56.0,46.4,30.0,24.0,6.0,18.0,20.0,79.0,26.0,0.0,MF,20.0,2003.0,21.8,1233.0,58.0,275.0,624.0,354.0,45.0,1233.0,45.0,18.0,40.0,18.0,40.0,655.0,3244.0,1466.0,30.0,25.0,6.0,38.0,22.0,801.0,61.0,MF,Yasin Ayari,Brighton,Central Midfield,22000000.0,22.0,Yasin Ayari,Brighton,0.2018,4.8165,0.1514,5.9174,2.7523,-0.2463196407166871,-0.2808740242521771,-0.3119692476060065,-0.011884644742300575,0.31033894559232456,-0.2628,0.2269,0.416,-0.1891,Overvalued
Jordan Ayew,gh GHA,"FW,MF",Leicester,32.0,1991.0,18.2,5,31,8,25.8,1.7,0.44,0.13,0.5,18.8,4,1,1,3.2,2.4,0.08,1.8,1.6,GHA,2024-25,Premier League,jordan ayew,leicester,MF,gh GHA,32.0,18.2,401.0,540.0,74.3,5942.0,1216.0,219.0,252.0,86.9,138.0,183.0,75.4,24.0,59.0,40.7,0.0,1.1,1.5,-1.1,16.0,25.0,14.0,7.0,46.0,MF,32.0,1991.0,18.2,27.0,15.0,8.0,14.0,5.0,7.0,23.0,30.4,16.0,21.0,2.0,19.0,12.0,39.0,19.0,0.0,MF,32.0,1991.0,18.2,798.0,21.0,103.0,407.0,312.0,55.0,797.0,64.0,26.0,40.6,32.0,50.0,479.0,3374.0,1540.0,49.0,37.0,11.0,63.0,40.0,540.0,86.0,MF,Jordan Ayew,Leicester,Centre-Forward,4000000.0,4.0,Jordan Ayew,Leicester,0.4066,5.2198,0.0604,4.3407,5.6593,0.4622881820164686,-0.1056327346290603,-0.8157774692551623,-0.621418397207974,2.216397318297589,-0.6594,0.042,0.0294,0.0126,Fair Value
Leon Bailey,jm JAM,"FW,MF",Aston Villa,26.0,1997.0,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,JAM,2024-25,Premier League,leon bailey,aston villa,MF,jm JAM,26.0,12.7,277.0,390.0,71.0,4313.0,1055.0,152.0,186.0,81.7,100.0,123.0,81.3,18.0,38.0,47.4,2.0,1.5,3.0,0.5,16.0,16.0,20.0,2.0,35.0,MF,26.0,1997.0,12.7,7.0,5.0,2.0,3.0,2.0,3.0,11.0,27.3,8.0,6.0,0.0,6.0,3.0,10.0,12.0,0.0,MF,26.0,1997.0,12.7,545.0,18.0,77.0,155.0,323.0,70.0,545.0,57.0,22.0,38.6,24.0,42.1,348.0,2582.0,1371.0,58.0,23.0,34.0,35.0,25.0,390.0,121.0,MF,Leon Bailey,Aston Villa,Right Winger,28000000.0,28.0,Leon Bailey,Aston Villa,0.2126,7.3228,0.2756,2.2047,4.7244,-0.2090701826380133,0.8082592148347076,0.37620523410952383,-1.4471081962685552,1.6033926397199743,-0.2567,0.2437,0.5168,-0.2731,Overvalued
Carlos Baleba,cm CMR,MF,Brighton,20.0,2004.0,29.6,3,44,11,25.0,1.49,0.37,0.07,0.27,25.5,1,0,0,3.1,3.1,0.07,-0.1,-0.1,CMR,2024-25,Premier League,carlos baleba,brighton,MF,cm CMR,20.0,29.6,1149.0,1314.0,87.4,19305.0,4741.0,544.0,591.0,92.0,487.0,528.0,92.2,94.0,148.0,63.5,1.0,1.3,1.2,-0.3,21.0,109.0,23.0,3.0,118.0,MF,20.0,2004.0,29.6,79.0,46.0,26.0,37.0,16.0,48.0,80.0,60.0,32.0,47.0,11.0,36.0,46.0,125.0,44.0,1.0,MF,20.0,2004.0,29.6,1697.0,94.0,410.0,994.0,339.0,12.0,1697.0,57.0,33.0,57.9,20.0,35.1,971.0,5692.0,2810.0,43.0,45.0,3.0,39.0,42.0,1035.0,29.0,MF,Carlos Baleba,Brighton,Defensive Midfield,40000000.0,40.0,Carlos Baleba,Brighton,0.2061,5.4392,0.0777,7.2973,2.7365,-0.23162475315295486,-0.010287560336563877,-0.7201359529764443,0.5215311208879341,0.2999747381167469,-0.133,0.3277,0.6975,-0.3697,Overvalued
Harvey Barnes,eng ENG,FW,Newcastle,26.0,1997.0,19.5,9,63,20,31.7,3.23,1.03,0.14,0.45,15.1,0,0,0,7.2,7.2,0.11,1.8,1.8,ENG,2024-25,Premier League,harvey barnes,newcastle,FW,eng ENG,26.0,19.5,474.0,607.0,78.1,6642.0,1989.0,302.0,348.0,86.8,149.0,204.0,73.0,14.0,26.0,53.8,4.0,4.0,4.6,0.0,26.0,25.0,41.0,9.0,83.0,FW,26.0,1997.0,19.5,16.0,9.0,4.0,6.0,6.0,3.0,11.0,27.3,8.0,8.0,2.0,6.0,6.0,22.0,15.0,1.0,FW,26.0,1997.0,19.5,810.0,17.0,97.0,257.0,462.0,128.0,810.0,64.0,24.0,37.5,33.0,51.6,561.0,4196.0,2467.0,93.0,48.0,47.0,33.0,23.0,647.0,192.0,FW,Harvey Barnes,Newcastle,Left Winger,35000000.0,35.0,Harvey Barnes,Newcastle,0.8308,9.0256,0.4103,2.3077,2.8718,1.9302333092284232,1.548221539629907,1.122283019753296,-1.4073038267776867,0.38869214567717425,1.2789,0.9302,0.593,0.3372,Undervalued
Calvin Bassey,ng NGA,DF,Fulham,24.0,1999.0,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,NGA,2024-25,Premier League,calvin bassey,fulham,DF,ng NGA,24.0,34.2,1934.0,2155.0,89.7,34171.0,11961.0,821.0,862.0,95.2,941.0,1003.0,93.8,140.0,228.0,61.4,0.0,0.1,0.4,-0.1,3.0,152.0,3.0,0.0,116.0,DF,24.0,1999.0,34.2,54.0,34.0,35.0,19.0,0.0,22.0,31.0,71.0,9.0,40.0,17.0,23.0,20.0,74.0,118.0,8.0,DF,24.0,1999.0,34.2,2463.0,324.0,1205.0,1151.0,132.0,19.0,2463.0,33.0,15.0,45.5,11.0,33.3,1571.0,8212.0,4940.0,39.0,20.0,5.0,34.0,8.0,1716.0,15.0,DF,Calvin Bassey,Fulham,Centre-Back,25000000.0,25.0,Calvin Bassey,Fulham,0.0585,4.5322,0.0029,6.7836,1.2281,-0.7424293821605996,-0.40443962949374085,-1.1344261580881871,0.32296075895111026,-0.6890458930365442,0.1547,0.2,0.5784,-0.3784,Overvalued
Jan Bednarek,pl POL,DF,Southampton,28.0,1996.0,28.1,2,5,2,40.0,0.18,0.07,0.4,1.0,16.0,0,0,0,0.7,0.7,0.13,1.3,1.3,POL,2024-25,Premier League,jan bednarek,southampton,DF,pl POL,28.0,28.1,1564.0,1687.0,92.7,27781.0,8925.0,590.0,620.0,95.2,856.0,903.0,94.8,105.0,137.0,76.6,0.0,0.5,0.9,-0.5,5.0,72.0,1.0,0.0,60.0,DF,28.0,1996.0,28.1,36.0,19.0,23.0,13.0,0.0,16.0,31.0,51.6,15.0,47.0,36.0,11.0,56.0,92.0,190.0,5.0,DF,28.0,1996.0,28.1,2049.0,386.0,1091.0,924.0,41.0,15.0,2049.0,3.0,3.0,100.0,0.0,0.0,1046.0,3845.0,1742.0,5.0,5.0,1.0,9.0,3.0,1307.0,2.0,DF,Jan Bednarek,Southampton,Centre-Back,7000000.0,7.0,Jan Bednarek,Southampton,0.0961,2.3132,0.0178,11.7082,0.427,-0.6122867363969436,-1.3687147317687043,-1.0520452820326835,2.226650959410013,-1.2142518121883568,1.3838,0.9704,0.194,0.7763,Undervalued
