player_name,nation_raw,position,club,age,born,nineties,goals,shots,shots_on_target,SoT%,shots_per90,sot_per90,goals_per_shot,goals_per_sot,avg_shot_distance,free_kicks,penalty_goals,penalty_attempts,xg,npxg,npxg_per_shot,g_minus_xg,npg_minus_npxg,nation_code,season,league,player_key,club_key,position_group,nation,age_pass,nineties_pass,passes_completed_total,passes_attempted_total,pass_completion_total_pct,pass_total_distance,pass_progressive_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,a_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,position_group_pass,age_def,born_def,nineties_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,tackles_vs_dribblers,dribbles_faced,tackle_success_pct,dribbles_lost,blocks,blocks_shots,blocks_passes,interceptions,tackles_plus_interceptions,clearances,errors_leading_to_shot,position_group_def,age_poss,born_poss,nineties_poss,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,takeons_attempted,takeons_succeeded,takeons_success_pct,takeons_tackled,takeons_tackled_pct,carries,carries_total_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position_group_poss,player_name_tm,club_tm,position_tm,market_value_eur,market_value_millions,player_name_final,club_final,raw_attacking,raw_progression,raw_creation,raw_defensive,raw_mistakes,z_raw_attacking,z_raw_progression,z_raw_creation,z_raw_defensive,z_raw_mistakes,performance_index,perf_rank_pct,value_rank_pct,undervaluation_delta,valuation_category
Oliver Skipp,eng ENG,MF,Leicester,23.0,2000.0,12.5,0,5,1,20.0,0.4,0.08,0.0,0.0,19.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,ENG,2024-25,Premier League,oliver skipp,leicester,MF,eng ENG,23.0,12.5,419.0,502.0,83.5,6399.0,1568.0,214.0,247.0,86.6,163.0,178.0,91.6,21.0,36.0,58.3,0.0,0.3,0.3,-0.3,9.0,32.0,4.0,0.0,35.0,MF,23.0,2000.0,12.5,21.0,4.0,6.0,12.0,3.0,9.0,15.0,60.0,6.0,23.0,7.0,16.0,11.0,32.0,11.0,2.0,MF,23.0,2000.0,12.5,612.0,29.0,141.0,383.0,92.0,9.0,612.0,12.0,7.0,58.3,5.0,41.7,347.0,1392.0,644.0,16.0,7.0,3.0,12.0,7.0,419.0,19.0,MF,Oliver Skipp,Leicester,Defensive Midfield,10000000.0,10.0,Oliver Skipp,Leicester,0.032,4.08,0.024,5.28,1.52,-0.834067089911021,-0.6009294583811492,-1.0176604613458025,-0.2582968484532761,-0.4976367858653195,-0.5798,0.0756,0.1345,-0.0588,Fair Value
Adam Smith,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,0,3,0,0.0,0.17,0.0,0.0,0.0,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7,ENG,2024-25,Premier League,adam smith,bournemouth,DF,eng ENG,33.0,17.7,514.0,679.0,75.7,8452.0,2723.0,244.0,275.0,88.7,222.0,279.0,79.6,32.0,89.0,36.0,0.0,0.4,0.7,-0.4,8.0,49.0,10.0,5.0,49.0,DF,33.0,1991.0,17.7,24.0,12.0,11.0,7.0,6.0,14.0,27.0,51.9,13.0,13.0,5.0,8.0,15.0,39.0,49.0,1.0,DF,33.0,1991.0,17.7,825.0,41.0,240.0,394.0,197.0,8.0,825.0,16.0,6.0,37.5,7.0,43.8,366.0,1552.0,711.0,15.0,18.0,1.0,13.0,7.0,403.0,34.0,DF,Adam Smith,Bournemouth,Right-Back,500000.0,0.5,Adam Smith,Bournemouth,0.0395,3.6158,0.0226,5.7062,1.1299,-0.8079456507280461,-0.802641350727989,-1.025423022196977,-0.09353475013557103,-0.7533844333788926,-0.2047,0.0667,0.0112,0.0555,Fair Value
Emile Smith Rowe,eng ENG,MF,Fulham,24.0,2000.0,22.7,6,37,11,29.7,1.63,0.48,0.16,0.55,16.0,0,0,0,4.5,4.5,0.12,1.5,1.5,ENG,2024-25,Premier League,emile smith rowe,fulham,MF,eng ENG,24.0,22.7,922.0,1023.0,90.1,13141.0,2429.0,548.0,592.0,92.6,330.0,348.0,94.8,21.0,29.0,72.4,3.0,1.4,2.0,1.6,24.0,80.0,15.0,1.0,126.0,MF,24.0,2000.0,22.7,31.0,18.0,7.0,14.0,10.0,8.0,24.0,33.3,16.0,22.0,2.0,20.0,11.0,42.0,16.0,0.0,MF,24.0,2000.0,22.7,1223.0,20.0,166.0,591.0,476.0,60.0,1223.0,35.0,16.0,45.7,16.0,45.7,779.0,3728.0,1932.0,53.0,40.0,12.0,36.0,18.0,940.0,127.0,MF,Emile Smith Rowe,Fulham,Attacking Midfield,30000000.0,30.0,Emile Smith Rowe,Fulham,0.4626,7.8855,0.1938,3.5242,2.3789,0.6559546775378012,1.0527517541678182,-0.07675138200796244,-0.93702639267632,0.06548689398997629,0.2036,0.6723,0.563,0.1092,Fair Value
Dominic Solanke,eng ENG,FW,Tottenham,26.0,1997.0,24.5,9,59,24,40.7,2.41,0.98,0.14,0.33,12.4,0,1,1,10.9,10.1,0.17,-1.9,-2.1,ENG,2024-25,Premier League,dominic solanke,tottenham,FW,eng ENG,26.0,24.5,255.0,361.0,70.6,3429.0,944.0,154.0,205.0,75.1,68.0,87.0,78.2,12.0,18.0,66.7,3.0,2.9,1.2,0.1,14.0,28.0,9.0,0.0,47.0,FW,26.0,1997.0,24.5,18.0,11.0,1.0,12.0,5.0,4.0,16.0,25.0,12.0,20.0,9.0,11.0,1.0,19.0,23.0,0.0,FW,26.0,1997.0,24.5,655.0,33.0,74.0,299.0,288.0,112.0,654.0,51.0,17.0,33.3,31.0,60.8,385.0,2126.0,848.0,31.0,23.0,14.0,69.0,51.0,459.0,88.0,FW,Dominic Solanke,Tottenham,Centre-Forward,40000000.0,40.0,Dominic Solanke,Tottenham,0.7796,3.1837,0.2408,2.5306,4.898,1.7531237194907854,-0.9904322645536641,0.18354856000619238,-1.3211295171260269,1.7171836847021873,0.3842,0.3488,0.7209,-0.3721,Overvalued
Carlos Soler,es ESP,"MF,FW",West Ham,27.0,1997.0,15.7,1,25,8,32.0,1.6,0.51,0.04,0.13,19.0,1,0,0,1.8,1.8,0.07,-0.8,-0.8,ESP,2024-25,Premier League,carlos soler,west ham,MF,es ESP,27.0,15.7,570.0,669.0,85.2,8890.0,2414.0,308.0,326.0,94.5,212.0,246.0,86.2,32.0,59.0,54.2,1.0,1.4,1.9,-0.4,18.0,43.0,13.0,0.0,56.0,MF,27.0,1997.0,15.7,16.0,11.0,9.0,6.0,1.0,7.0,23.0,30.4,16.0,19.0,6.0,13.0,8.0,24.0,21.0,2.0,MF,27.0,1997.0,15.7,794.0,27.0,180.0,409.0,210.0,26.0,794.0,18.0,8.0,44.4,9.0,50.0,367.0,1806.0,783.0,17.0,17.0,4.0,14.0,14.0,539.0,37.0,MF,Carlos Soler,West Ham,Central Midfield,18000000.0,18.0,Carlos Soler,West Ham,0.1783,4.6497,0.1529,4.0764,1.7834,-0.3276146363456618,-0.3533717364345559,-0.30371379985128677,-0.7235605041670259,-0.3249078852274943,-0.3809,0.1513,0.3277,-0.1765,Overvalued
Tomáš Souček,cz CZE,MF,West Ham,29.0,1995.0,28.5,9,55,17,30.9,1.93,0.6,0.16,0.53,11.9,0,0,0,6.7,6.7,0.13,2.3,2.3,CZE,2024-25,Premier League,tomas soucek,west ham,MF,cz CZE,29.0,28.5,715.0,969.0,73.8,11811.0,3221.0,364.0,457.0,79.6,265.0,343.0,77.3,65.0,97.0,67.0,1.0,1.0,1.3,0.0,14.0,62.0,8.0,1.0,74.0,MF,29.0,1995.0,28.5,46.0,21.0,20.0,23.0,3.0,26.0,44.0,59.1,18.0,41.0,21.0,20.0,20.0,66.0,85.0,1.0,MF,29.0,1995.0,28.5,1280.0,128.0,355.0,626.0,303.0,102.0,1280.0,12.0,6.0,50.0,6.0,50.0,506.0,1553.0,559.0,9.0,12.0,3.0,20.0,15.0,764.0,68.0,MF,Tomáš Souček,West Ham,Defensive Midfield,18000000.0,18.0,Tomáš Souček,West Ham,0.5509,2.9123,0.0702,6.7368,1.2281,0.9616110313962641,-1.1083672368632724,-0.7618386129890135,0.30487558137163356,-0.6890458930365442,-0.2546,0.2521,0.3277,-0.0756,Fair Value
Boubakary Soumaré,fr FRA,MF,Leicester,25.0,1999.0,24.1,0,7,0,0.0,0.29,0.0,0.0,0.0,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,FRA,2024-25,Premier League,boubakary soumare,leicester,MF,fr FRA,25.0,24.1,1073.0,1234.0,87.0,16191.0,4336.0,581.0,632.0,91.9,414.0,471.0,87.9,42.0,60.0,70.0,0.0,0.4,1.0,-0.4,11.0,95.0,16.0,3.0,105.0,MF,25.0,1999.0,24.1,37.0,20.0,24.0,12.0,1.0,21.0,33.0,63.6,12.0,22.0,10.0,12.0,27.0,64.0,34.0,4.0,MF,25.0,1999.0,24.1,1441.0,73.0,386.0,903.0,166.0,18.0,1441.0,45.0,27.0,60.0,14.0,31.1,847.0,3904.0,2011.0,34.0,19.0,4.0,24.0,22.0,1013.0,23.0,MF,Boubakary Soumaré,Leicester,Defensive Midfield,12000000.0,12.0,Boubakary Soumaré,Leicester,0.0124,5.7676,0.0166,4.9793,1.9087,-0.9017302299995411,0.13244001053231963,-1.0586718439393925,-0.374556774663983,-0.2427695724046244,-0.4108,0.1261,0.2017,-0.0756,Fair Value
Djed Spence,eng ENG,DF,Tottenham,23.0,2000.0,19.9,1,10,3,30.0,0.5,0.15,0.1,0.33,23.9,0,0,0,0.6,0.6,0.06,0.4,0.4,ENG,2024-25,Premier League,djed spence,tottenham,DF,eng ENG,23.0,19.9,992.0,1161.0,85.4,14185.0,4261.0,585.0,622.0,94.1,343.0,400.0,85.8,32.0,67.0,47.8,2.0,1.8,1.4,0.2,11.0,78.0,18.0,8.0,105.0,DF,23.0,2000.0,19.9,47.0,34.0,25.0,15.0,7.0,23.0,30.0,76.7,7.0,28.0,9.0,19.0,21.0,68.0,74.0,2.0,DF,23.0,2000.0,19.9,1428.0,81.0,500.0,641.0,309.0,25.0,1428.0,76.0,38.0,50.0,31.0,40.8,794.0,4661.0,2481.0,59.0,44.0,7.0,28.0,33.0,872.0,70.0,DF,Djed Spence,Tottenham,Left-Back,20000000.0,20.0,Djed Spence,Tottenham,0.0804,8.2412,0.191,8.5427,3.0653,-0.6665622705626203,1.207341713396623,-0.09269515205058056,1.0029725239683758,0.5155847703308701,0.8282,0.7778,0.4515,0.3263,Undervalued
Jack Stephens,eng ENG,DF,Southampton,30.0,1994.0,15.4,1,4,2,50.0,0.26,0.13,0.25,0.5,11.0,0,0,0,0.6,0.6,0.14,0.4,0.4,ENG,2024-25,Premier League,jack stephens,southampton,DF,eng ENG,30.0,15.4,879.0,955.0,92.0,15471.0,4366.0,346.0,372.0,93.0,464.0,492.0,94.3,54.0,65.0,83.1,0.0,0.2,0.3,-0.2,3.0,51.0,5.0,0.0,63.0,DF,30.0,1994.0,15.4,34.0,20.0,25.0,9.0,0.0,17.0,30.0,56.7,13.0,20.0,13.0,7.0,13.0,47.0,53.0,2.0,DF,30.0,1994.0,15.4,1097.0,128.0,461.0,543.0,97.0,11.0,1097.0,4.0,0.0,0.0,4.0,100.0,631.0,2996.0,1407.0,14.0,12.0,1.0,3.0,3.0,783.0,2.0,DF,Jack Stephens,Southampton,Centre-Back,1200000.0,1.2,Jack Stephens,Southampton,0.1039,5.0,0.013,7.7922,0.3896,-0.5852562681606915,-0.20113923747365903,-1.0786747749988133,0.7128490028723004,-1.2387973247221293,0.5614,0.5852,0.0224,0.5628,Undervalued
Jørgen Strand Larsen,no NOR,FW,Wolves,24.0,2000.0,28.7,14,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,0,0,10.3,10.3,0.19,3.7,3.7,NOR,2024-25,Premier League,jørgen strand larsen,wolves,FW,no NOR,24.0,28.7,295.0,457.0,64.6,3818.0,697.0,182.0,254.0,71.7,73.0,112.0,65.2,14.0,20.0,70.0,4.0,3.0,1.0,1.0,21.0,19.0,4.0,1.0,29.0,FW,24.0,2000.0,28.7,10.0,6.0,2.0,3.0,5.0,4.0,27.0,14.8,23.0,19.0,4.0,15.0,6.0,16.0,29.0,0.0,FW,24.0,2000.0,28.7,736.0,36.0,85.0,348.0,304.0,108.0,736.0,20.0,8.0,40.0,11.0,55.0,345.0,1194.0,464.0,17.0,14.0,9.0,90.0,34.0,534.0,112.0,FW,Jørgen Strand Larsen,Wolves,Centre-Forward,30000000.0,30.0,Jørgen Strand Larsen,Wolves,0.8467,1.6028,0.2439,2.23,4.3206,1.9853299480230586,-1.6774135344923036,0.20064628612189533,-1.4373508636366474,1.3385997473313727,0.4467,0.3721,0.4767,-0.1047,Fair Value
