player_name,nation_raw,position,club,age,born,nineties,goals,shots,shots_on_target,SoT%,shots_per90,sot_per90,goals_per_shot,goals_per_sot,avg_shot_distance,free_kicks,penalty_goals,penalty_attempts,xg,npxg,npxg_per_shot,g_minus_xg,npg_minus_npxg,nation_code,season,league,player_key,club_key,position_group,nation,age_pass,nineties_pass,passes_completed_total,passes_attempted_total,pass_completion_total_pct,pass_total_distance,pass_progressive_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,a_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,position_group_pass,age_def,born_def,nineties_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,tackles_vs_dribblers,dribbles_faced,tackle_success_pct,dribbles_lost,blocks,blocks_shots,blocks_passes,interceptions,tackles_plus_interceptions,clearances,errors_leading_to_shot,position_group_def,age_poss,born_poss,nineties_poss,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,takeons_attempted,takeons_succeeded,takeons_success_pct,takeons_tackled,takeons_tackled_pct,carries,carries_total_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position_group_poss,player_name_tm,club_tm,position_tm,market_value_eur,market_value_millions,player_name_final,club_final,attacking_score,creative_score,defensive_score,performance_index,perf_z,value_z,perf_pct,value_pct,undervaluation_delta,valuation_category
Tyler Adams,us USA,MF,Bournemouth,25.0,1999.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,USA,2024-25,Premier League,tyler adams,bournemouth,MF,us USA,25.0,21.8,902.0,1069.0,84.4,14322.0,3525.0,437.0,489.0,89.4,393.0,443.0,88.7,38.0,65.0,58.5,3.0,1.0,0.8,2.0,18.0,67.0,4.0,1.0,76.0,MF,25.0,1999.0,21.8,83.0,50.0,26.0,49.0,8.0,39.0,72.0,54.2,33.0,33.0,10.0,23.0,32.0,115.0,42.0,0.0,MF,25.0,1999.0,21.8,1337.0,62.0,349.0,779.0,224.0,18.0,1337.0,18.0,4.0,22.2,10.0,55.6,663.0,3337.0,1447.0,14.0,22.0,1.0,28.0,12.0,757.0,10.0,MF,Tyler Adams,Bournemouth,Defensive Midfield,18000000.0,18.0,Tyler Adams,Bournemouth,0.0734,4.9541,6.789,4.0404,-0.275,-0.5889,0.4286,0.3277,0.1008,Fair Value
Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997.0,15.7,1,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0,0,0,0.9,0.9,0.07,0.1,0.1,ENG,2024-25,Premier League,tosin adarabioyo,chelsea,DF,eng ENG,26.0,15.7,1079.0,1184.0,91.1,19805.0,7144.0,406.0,425.0,95.5,603.0,636.0,94.8,66.0,109.0,60.6,1.0,0.2,0.2,0.8,1.0,62.0,1.0,0.0,42.0,DF,26.0,1997.0,15.7,17.0,13.0,11.0,6.0,0.0,8.0,12.0,66.7,4.0,9.0,7.0,2.0,11.0,28.0,80.0,0.0,DF,26.0,1997.0,15.7,1330.0,175.0,630.0,674.0,27.0,14.0,1330.0,6.0,4.0,66.7,1.0,16.7,777.0,3207.0,1809.0,5.0,2.0,0.0,4.0,0.0,1000.0,1.0,DF,Tosin Adarabioyo,Chelsea,Centre-Back,20000000.0,20.0,Tosin Adarabioyo,Chelsea,0.121,3.0573,2.3567,2.1197,-1.7403,-0.254,0.0149,0.4515,-0.4366,Overvalued
Simon Adingra,ci CIV,"FW,MF",Brighton,22.0,2002.0,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,CIV,2024-25,Premier League,simon adingra,brighton,MF,ci CIV,22.0,12.2,290.0,382.0,75.9,4148.0,820.0,187.0,217.0,86.2,81.0,109.0,74.3,16.0,29.0,55.2,2.0,2.5,2.8,-0.5,16.0,5.0,17.0,6.0,18.0,MF,22.0,2002.0,12.2,23.0,14.0,10.0,8.0,5.0,10.0,26.0,38.5,16.0,12.0,0.0,12.0,8.0,31.0,6.0,2.0,MF,22.0,2002.0,12.2,548.0,10.0,66.0,174.0,315.0,76.0,548.0,50.0,21.0,42.0,27.0,54.0,366.0,2514.0,1300.0,50.0,21.0,27.0,39.0,12.0,388.0,136.0,MF,Simon Adingra,Brighton,Left Winger,28000000.0,28.0,Simon Adingra,Brighton,0.3689,6.8852,3.5246,3.9221,-0.3923,-0.2026,0.3613,0.5168,-0.1555,Overvalued
Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,CIV,2024-25,Premier League,emmanuel agbadou,wolves,DF,ci CIV,27.0,15.7,855.0,1001.0,85.4,17344.0,6203.0,276.0,299.0,92.3,466.0,501.0,93.0,107.0,181.0,59.1,0.0,0.2,0.3,-0.2,4.0,40.0,1.0,0.0,31.0,DF,27.0,1997.0,15.7,30.0,19.0,21.0,9.0,0.0,13.0,20.0,65.0,7.0,19.0,13.0,6.0,12.0,42.0,90.0,0.0,DF,27.0,1997.0,15.7,1172.0,190.0,649.0,504.0,28.0,7.0,1172.0,13.0,10.0,76.9,2.0,15.4,758.0,3670.0,1752.0,6.0,4.0,0.0,6.0,4.0,796.0,2.0,DF,Emmanuel Agbadou,Wolves,Centre-Back,20000000.0,20.0,Emmanuel Agbadou,Wolves,0.1146,2.6115,3.8854,2.749,-1.027,-0.254,0.1343,0.4515,-0.3172,Overvalued
Ola Aina,ng NGA,DF,Nottm Forest,27.0,1996.0,33.3,2,11,2,18.2,0.33,0.06,0.18,1.0,26.1,0,0,0,0.6,0.6,0.06,1.4,1.4,NGA,2024-25,Premier League,ola aina,nottm forest,DF,ng NGA,27.0,33.3,994.0,1352.0,73.5,15371.0,6297.0,530.0,598.0,88.6,374.0,502.0,74.5,57.0,166.0,34.3,1.0,1.4,2.2,-0.4,16.0,85.0,23.0,11.0,107.0,DF,27.0,1996.0,33.3,55.0,42.0,39.0,15.0,1.0,36.0,64.0,56.3,28.0,34.0,12.0,22.0,33.0,88.0,115.0,4.0,DF,27.0,1996.0,33.3,1708.0,156.0,613.0,717.0,409.0,22.0,1708.0,72.0,33.0,45.8,27.0,37.5,749.0,4798.0,2787.0,67.0,46.0,10.0,44.0,22.0,823.0,67.0,DF,Ola Aina,Nottm Forest,Right-Back,22000000.0,22.0,Ola Aina,Nottm Forest,0.0781,5.7057,3.6637,3.5592,-0.1087,-0.147,0.5299,0.4888,0.041,Fair Value
Rayan Aït-Nouri,dz ALG,DF,Wolves,23.0,2001.0,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3,ALG,2024-25,Premier League,rayan ait-nouri,wolves,DF,dz ALG,23.0,34.5,1449.0,1721.0,84.2,19837.0,5926.0,897.0,959.0,93.5,435.0,499.0,87.2,48.0,118.0,40.7,7.0,5.5,4.0,1.5,46.0,77.0,30.0,10.0,108.0,DF,23.0,2001.0,34.5,89.0,57.0,52.0,28.0,9.0,43.0,70.0,61.4,27.0,42.0,6.0,36.0,26.0,115.0,75.0,2.0,DF,23.0,2001.0,34.5,2148.0,96.0,577.0,916.0,685.0,96.0,2148.0,137.0,63.0,46.0,56.0,40.9,1129.0,6166.0,3205.0,89.0,62.0,28.0,52.0,47.0,1321.0,176.0,DF,Rayan Aït-Nouri,Wolves,Left-Back,35000000.0,35.0,Rayan Aït-Nouri,Wolves,0.1942,7.0435,4.5507,4.4272,0.8753,0.5483,0.806,0.7612,0.0448,Fair Value
Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998.0,16.0,0,9,3,33.3,0.56,0.19,0.0,0.0,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,NOR,2024-25,Premier League,kristoffer ajer,brentford,DF,no NOR,26.0,16.0,504.0,644.0,78.3,7868.0,2831.0,260.0,299.0,87.0,199.0,248.0,80.2,27.0,54.0,50.0,0.0,1.2,0.5,-1.2,8.0,44.0,7.0,4.0,56.0,DF,26.0,1998.0,16.0,26.0,18.0,14.0,11.0,1.0,14.0,27.0,51.9,13.0,17.0,4.0,13.0,12.0,38.0,50.0,0.0,DF,26.0,1998.0,16.0,795.0,53.0,265.0,368.0,168.0,38.0,795.0,16.0,7.0,43.8,8.0,50.0,387.0,2098.0,1180.0,27.0,11.0,2.0,15.0,12.0,491.0,44.0,DF,Kristoffer Ajer,Brentford,Centre-Back,16000000.0,16.0,Kristoffer Ajer,Brentford,0.0625,5.6875,3.4375,3.4375,-0.2466,-0.4679,0.4701,0.3881,0.0821,Fair Value
Manuel Akanji,ch SUI,DF,Man City,29.0,1995.0,22.4,0,15,2,13.3,0.67,0.09,0.0,0.0,14.7,0,0,0,1.6,1.6,0.1,-1.6,-1.6,SUI,2024-25,Premier League,manuel akanji,man city,DF,ch SUI,29.0,22.4,1632.0,1744.0,93.6,27046.0,7578.0,776.0,812.0,95.6,757.0,795.0,95.2,84.0,113.0,74.3,0.0,0.4,1.3,-0.4,9.0,177.0,11.0,2.0,158.0,DF,29.0,1995.0,22.4,19.0,12.0,12.0,4.0,3.0,11.0,17.0,64.7,6.0,11.0,8.0,3.0,9.0,28.0,64.0,3.0,DF,29.0,1995.0,22.4,1881.0,119.0,559.0,920.0,405.0,19.0,1881.0,2.0,2.0,100.0,0.0,0.0,1254.0,6953.0,4234.0,46.0,64.0,0.0,5.0,5.0,1483.0,7.0,DF,Manuel Akanji,Man City,Centre-Back,28000000.0,28.0,Manuel Akanji,Man City,0.0714,9.5089,1.7411,3.7375,0.0935,0.1739,0.6119,0.6604,-0.0485,Fair Value
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,1998.0,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,23.6,3,0,0,1.9,1.9,0.04,1.1,1.1,ENG,2024-25,Premier League,trent alexander-arnold,liverpool,DF,eng ENG,25.0,26.3,1448.0,1971.0,73.5,27901.0,11363.0,632.0,704.0,89.8,589.0,771.0,76.4,203.0,418.0,48.6,6.0,7.3,7.4,-1.3,52.0,207.0,65.0,20.0,232.0,DF,25.0,1998.0,26.3,72.0,50.0,44.0,19.0,9.0,49.0,105.0,46.7,56.0,26.0,9.0,17.0,31.0,103.0,55.0,4.0,DF,25.0,1998.0,26.3,2253.0,88.0,593.0,1014.0,660.0,44.0,2253.0,37.0,17.0,45.9,17.0,45.9,1184.0,5358.0,2860.0,51.0,36.0,9.0,19.0,15.0,1436.0,94.0,DF,Trent Alexander-Arnold,Liverpool,Right-Back,75000000.0,75.0,Trent Alexander-Arnold,Liverpool,0.1863,12.7376,4.9049,6.311,3.0107,2.6877,0.9925,0.9776,0.0149,Fair Value
Alisson,br BRA,GK,Liverpool,31.0,1992.0,27.9,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,BRA,2024-25,Premier League,alisson,liverpool,GK,br BRA,31.0,27.9,794.0,959.0,82.8,17555.0,11360.0,229.0,232.0,98.7,426.0,433.0,98.4,137.0,289.0,47.4,0.0,0.6,0.2,-0.6,1.0,12.0,0.0,0.0,1.0,GK,31.0,1992.0,27.9,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,GK,31.0,1992.0,27.9,1010.0,741.0,990.0,20.0,0.0,0.0,1010.0,1.0,1.0,100.0,0.0,0.0,658.0,2611.0,1586.0,0.0,0.0,0.0,1.0,0.0,618.0,0.0,GK,Alisson,Liverpool,Goalkeeper,20000000.0,20.0,Alisson,Liverpool,0.0,0.0717,0.0358,0.0394,-0.3961,0.5133,0.3462,0.7115,-0.3654,Overvalued
Edson Álvarez,mx MEX,MF,West Ham,26.0,1997.0,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,MEX,2024-25,Premier League,edson alvarez,west ham,MF,mx MEX,26.0,19.7,861.0,1003.0,85.8,14393.0,4200.0,424.0,475.0,89.3,361.0,402.0,89.8,66.0,92.0,71.7,1.0,0.8,0.9,0.2,12.0,92.0,12.0,3.0,85.0,MF,26.0,1997.0,19.7,50.0,27.0,27.0,15.0,8.0,17.0,35.0,48.6,18.0,23.0,8.0,15.0,18.0,68.0,46.0,1.0,MF,26.0,1997.0,19.7,1239.0,67.0,361.0,693.0,194.0,12.0,1239.0,33.0,14.0,42.4,14.0,42.4,687.0,3783.0,1714.0,24.0,22.0,2.0,27.0,15.0,830.0,18.0,MF,Edson Álvarez,West Ham,Defensive Midfield,25000000.0,25.0,Edson Álvarez,West Ham,0.0203,6.1421,4.6193,3.8487,-0.4652,-0.3185,0.3025,0.4622,-0.1597,Overvalued
Joachim Andersen,dk DEN,DF,Fulham,28.0,1996.0,28.7,0,19,4,21.1,0.66,0.14,0.0,0.0,15.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0,DEN,2024-25,Premier League,joachim andersen,fulham,DF,dk DEN,28.0,28.7,1654.0,2000.0,82.7,36471.0,14436.0,456.0,497.0,91.8,918.0,985.0,93.2,269.0,487.0,55.2,0.0,0.5,0.5,-0.5,4.0,196.0,6.0,3.0,112.0,DF,28.0,1996.0,28.7,27.0,18.0,20.0,6.0,1.0,15.0,24.0,62.5,9.0,37.0,28.0,9.0,34.0,61.0,188.0,1.0,DF,28.0,1996.0,28.7,2336.0,340.0,1233.0,1013.0,102.0,22.0,2336.0,6.0,4.0,66.7,0.0,0.0,1350.0,6505.0,3435.0,16.0,14.0,1.0,6.0,3.0,1621.0,2.0,DF,Joachim Andersen,Fulham,Centre-Back,27000000.0,27.0,Joachim Andersen,Fulham,0.0348,4.5993,3.4146,3.0941,-0.6359,0.1204,0.2687,0.6343,-0.3657,Overvalued
Elliot Anderson,eng ENG,MF,Nottm Forest,21.0,2002.0,30.3,2,40,7,17.5,1.32,0.23,0.05,0.29,18.8,0,0,0,2.1,2.1,0.05,-0.1,-0.1,ENG,2024-25,Premier League,elliot anderson,nottm forest,MF,eng ENG,21.0,30.3,1085.0,1386.0,78.3,17458.0,5922.0,572.0,640.0,89.4,402.0,496.0,81.0,77.0,165.0,46.7,6.0,3.3,3.6,2.7,37.0,121.0,19.0,2.0,143.0,MF,21.0,2002.0,30.3,92.0,56.0,54.0,29.0,9.0,48.0,111.0,43.2,63.0,48.0,9.0,39.0,31.0,123.0,76.0,4.0,MF,21.0,2002.0,30.3,1832.0,102.0,424.0,891.0,547.0,72.0,1832.0,75.0,36.0,48.0,30.0,40.0,932.0,5071.0,2366.0,52.0,32.0,21.0,60.0,49.0,1089.0,95.0,MF,Elliot Anderson,Nottm Forest,Central Midfield,32000000.0,32.0,Elliot Anderson,Nottm Forest,0.1353,7.6568,5.6436,4.7964,0.4754,-0.048,0.7563,0.6008,0.1555,Fair Value
André,br BRA,MF,Wolves,23.0,2001.0,27.5,0,10,1,10.0,0.36,0.04,0.0,0.0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,BRA,2024-25,Premier League,andre,wolves,MF,br BRA,23.0,27.5,1247.0,1342.0,92.9,19660.0,5471.0,646.0,677.0,95.4,475.0,500.0,95.0,80.0,98.0,81.6,0.0,0.8,0.7,-0.8,18.0,111.0,5.0,0.0,109.0,MF,23.0,2001.0,27.5,91.0,55.0,41.0,41.0,9.0,37.0,63.0,58.7,26.0,42.0,8.0,34.0,37.0,128.0,30.0,1.0,MF,23.0,2001.0,27.5,1623.0,89.0,439.0,1046.0,155.0,3.0,1623.0,32.0,16.0,50.0,12.0,37.5,912.0,3764.0,1688.0,10.0,17.0,0.0,30.0,21.0,1093.0,11.0,MF,André,Wolves,Defensive Midfield,28000000.0,28.0,André,Wolves,0.0145,4.9818,6.1818,3.8516,-0.4623,-0.2026,0.3109,0.5168,-0.2059,Overvalued
Cameron Archer,eng ENG,FW,Southampton,23.0,2001.0,16.0,2,28,10,35.7,1.75,0.62,0.07,0.2,12.8,0,0,1,5.7,4.9,0.18,-3.7,-2.9,ENG,2024-25,Premier League,cameron archer,southampton,FW,eng ENG,23.0,16.0,205.0,251.0,81.7,2612.0,367.0,131.0,151.0,86.8,54.0,59.0,91.5,5.0,9.0,55.6,0.0,0.5,0.7,-0.5,5.0,7.0,7.0,0.0,14.0,FW,23.0,2001.0,16.0,13.0,8.0,8.0,3.0,2.0,2.0,9.0,22.2,7.0,5.0,1.0,4.0,2.0,15.0,11.0,0.0,FW,23.0,2001.0,16.0,398.0,16.0,69.0,179.0,154.0,52.0,397.0,37.0,15.0,40.5,20.0,54.1,226.0,1182.0,564.0,22.0,10.0,14.0,40.0,26.0,274.0,66.0,FW,Cameron Archer,Southampton,Centre-Forward,15000000.0,15.0,Cameron Archer,Southampton,0.4812,2.5625,1.25,1.1825,-1.4415,-0.6817,0.0698,0.186,-0.1163,Fair Value
Alphonse Areola,fr FRA,GK,West Ham,31.0,1993.0,25.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-25,Premier League,alphonse areola,west ham,GK,fr FRA,31.0,25.1,688.0,989.0,69.6,18224.0,12284.0,153.0,154.0,99.4,334.0,350.0,95.4,198.0,473.0,41.9,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,GK,31.0,1993.0,25.1,2.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,15.0,3.0,GK,31.0,1993.0,25.1,1049.0,833.0,1038.0,12.0,0.0,0.0,1049.0,0.0,0.0,0.0,0.0,0.0,601.0,2480.0,1348.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,GK,Alphonse Areola,West Ham,Goalkeeper,9000000.0,9.0,Alphonse Areola,West Ham,0.0,0.0398,0.0797,0.0518,-0.0691,-0.5661,0.5769,0.3846,0.1923,Fair Value
Joe Aribo,ng NGA,"MF,DF",Southampton,28.0,1996.0,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,0.3,0.3,NGA,2024-25,Premier League,joe aribo,southampton,DF,ng NGA,28.0,22.4,929.0,1046.0,88.8,13689.0,2630.0,514.0,563.0,91.3,357.0,391.0,91.3,31.0,45.0,68.9,0.0,1.6,1.3,-1.6,16.0,51.0,4.0,1.0,75.0,DF,28.0,1996.0,22.4,47.0,33.0,17.0,24.0,6.0,17.0,35.0,48.6,18.0,28.0,11.0,17.0,20.0,67.0,32.0,3.0,DF,28.0,1996.0,22.4,1271.0,52.0,313.0,670.0,299.0,44.0,1271.0,49.0,21.0,42.9,22.0,44.9,745.0,4068.0,2021.0,36.0,29.0,12.0,27.0,19.0,925.0,65.0,DF,Joe Aribo,Southampton,Central Midfield,6000000.0,6.0,Joe Aribo,Southampton,0.2545,5.6696,4.2411,3.8723,0.2463,-1.0027,0.6716,0.1679,0.5037,Undervalued
Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,2,25,7,28.0,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,ENG,2024-25,Premier League,adam armstrong,southampton,MF,eng ENG,27.0,13.9,231.0,288.0,80.2,3320.0,446.0,138.0,158.0,87.3,81.0,95.0,85.3,6.0,13.0,46.2,2.0,1.2,0.6,0.8,9.0,10.0,8.0,2.0,21.0,MF,27.0,1997.0,13.9,12.0,3.0,2.0,7.0,3.0,3.0,14.0,21.4,11.0,6.0,1.0,5.0,3.0,15.0,8.0,0.0,MF,27.0,1997.0,13.9,377.0,11.0,44.0,143.0,192.0,49.0,376.0,14.0,6.0,42.9,8.0,57.1,235.0,1324.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,MF,Adam Armstrong,Southampton,Centre-Forward,9000000.0,9.0,Adam Armstrong,Southampton,0.3813,3.9568,1.5108,2.1504,-2.151,-0.9366,0.0084,0.0924,-0.084,Fair Value
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29.0,1994.0,31.0,0,1,0,0.0,0.03,0.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,ESP,2024-25,Premier League,kepa arrizabalaga,bournemouth,GK,es ESP,29.0,31.0,752.0,1027.0,73.2,20531.0,13943.0,120.0,122.0,98.4,390.0,397.0,98.2,241.0,500.0,48.2,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,GK,29.0,1994.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,15.0,3.0,GK,29.0,1994.0,31.0,1087.0,800.0,1057.0,29.0,1.0,1.0,1087.0,1.0,1.0,100.0,0.0,0.0,621.0,3129.0,1797.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,GK,Kepa Arrizabalaga,Bournemouth,Goalkeeper,10000000.0,10.0,Kepa Arrizabalaga,Bournemouth,0.0032,0.0968,0.0968,0.0781,0.6256,-0.468,0.7692,0.4423,0.3269,Undervalued
Yasin Ayari,se SWE,MF,Brighton,20.0,2003.0,21.8,2,28,8,28.6,1.28,0.37,0.07,0.25,18.7,2,0,0,2.4,2.4,0.09,-0.4,-0.4,SWE,2024-25,Premier League,yasin ayari,brighton,MF,se SWE,20.0,21.8,793.0,973.0,81.5,11915.0,3328.0,465.0,509.0,91.4,269.0,319.0,84.3,40.0,98.0,40.8,1.0,2.3,2.6,-1.3,30.0,55.0,18.0,4.0,75.0,MF,20.0,2003.0,21.8,59.0,32.0,15.0,31.0,13.0,26.0,56.0,46.4,30.0,24.0,6.0,18.0,20.0,79.0,26.0,0.0,MF,20.0,2003.0,21.8,1233.0,58.0,275.0,624.0,354.0,45.0,1233.0,45.0,18.0,40.0,18.0,40.0,655.0,3244.0,1466.0,30.0,25.0,6.0,38.0,22.0,801.0,61.0,MF,Yasin Ayari,Brighton,Central Midfield,22000000.0,22.0,Yasin Ayari,Brighton,0.2018,6.1927,4.7248,3.955,-0.3597,-0.4344,0.3866,0.416,-0.0294,Fair Value
Jordan Ayew,gh GHA,"FW,MF",Leicester,32.0,1991.0,18.2,5,31,8,25.8,1.7,0.44,0.13,0.5,18.8,4,1,1,3.2,2.4,0.08,1.8,1.6,GHA,2024-25,Premier League,jordan ayew,leicester,MF,gh GHA,32.0,18.2,401.0,540.0,74.3,5942.0,1216.0,219.0,252.0,86.9,138.0,183.0,75.4,24.0,59.0,40.7,0.0,1.1,1.5,-1.1,16.0,25.0,14.0,7.0,46.0,MF,32.0,1991.0,18.2,27.0,15.0,8.0,14.0,5.0,7.0,23.0,30.4,16.0,21.0,2.0,19.0,12.0,39.0,19.0,0.0,MF,32.0,1991.0,18.2,798.0,21.0,103.0,407.0,312.0,55.0,797.0,64.0,26.0,40.6,32.0,50.0,479.0,3374.0,1540.0,49.0,37.0,11.0,63.0,40.0,540.0,86.0,MF,Jordan Ayew,Leicester,Centre-Forward,4000000.0,4.0,Jordan Ayew,Leicester,0.4505,6.0989,3.2967,3.5637,-0.7481,-1.1297,0.2101,0.0294,0.1807,Fair Value
Leon Bailey,jm JAM,"FW,MF",Aston Villa,26.0,1997.0,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,JAM,2024-25,Premier League,leon bailey,aston villa,MF,jm JAM,26.0,12.7,277.0,390.0,71.0,4313.0,1055.0,152.0,186.0,81.7,100.0,123.0,81.3,18.0,38.0,47.4,2.0,1.5,3.0,0.5,16.0,16.0,20.0,2.0,35.0,MF,26.0,1997.0,12.7,7.0,5.0,2.0,3.0,2.0,3.0,11.0,27.3,8.0,6.0,0.0,6.0,3.0,10.0,12.0,0.0,MF,26.0,1997.0,12.7,545.0,18.0,77.0,155.0,323.0,70.0,545.0,57.0,22.0,38.6,24.0,42.1,348.0,2582.0,1371.0,58.0,23.0,34.0,35.0,25.0,390.0,121.0,MF,Leon Bailey,Aston Villa,Right Winger,28000000.0,28.0,Leon Bailey,Aston Villa,0.2126,8.5827,1.2598,3.8748,-0.4393,-0.2026,0.3361,0.5168,-0.1807,Overvalued
Carlos Baleba,cm CMR,MF,Brighton,20.0,2004.0,29.6,3,44,11,25.0,1.49,0.37,0.07,0.27,25.5,1,0,0,3.1,3.1,0.07,-0.1,-0.1,CMR,2024-25,Premier League,carlos baleba,brighton,MF,cm CMR,20.0,29.6,1149.0,1314.0,87.4,19305.0,4741.0,544.0,591.0,92.0,487.0,528.0,92.2,94.0,148.0,63.5,1.0,1.3,1.2,-0.3,21.0,109.0,23.0,3.0,118.0,MF,20.0,2004.0,29.6,79.0,46.0,26.0,37.0,16.0,48.0,80.0,60.0,32.0,47.0,11.0,36.0,46.0,125.0,44.0,1.0,MF,20.0,2004.0,29.6,1697.0,94.0,410.0,994.0,339.0,12.0,1697.0,57.0,33.0,57.9,20.0,35.1,971.0,5692.0,2810.0,43.0,45.0,3.0,39.0,42.0,1035.0,29.0,MF,Carlos Baleba,Brighton,Defensive Midfield,40000000.0,40.0,Carlos Baleba,Brighton,0.2061,6.1486,5.8108,4.2645,-0.0525,0.261,0.5378,0.6975,-0.1597,Overvalued
Harvey Barnes,eng ENG,FW,Newcastle,26.0,1997.0,19.5,9,63,20,31.7,3.23,1.03,0.14,0.45,15.1,0,0,0,7.2,7.2,0.11,1.8,1.8,ENG,2024-25,Premier League,harvey barnes,newcastle,FW,eng ENG,26.0,19.5,474.0,607.0,78.1,6642.0,1989.0,302.0,348.0,86.8,149.0,204.0,73.0,14.0,26.0,53.8,4.0,4.0,4.6,0.0,26.0,25.0,41.0,9.0,83.0,FW,26.0,1997.0,19.5,16.0,9.0,4.0,6.0,6.0,3.0,11.0,27.3,8.0,8.0,2.0,6.0,6.0,22.0,15.0,1.0,FW,26.0,1997.0,19.5,810.0,17.0,97.0,257.0,462.0,128.0,810.0,64.0,24.0,37.5,33.0,51.6,561.0,4196.0,2467.0,93.0,48.0,47.0,33.0,23.0,647.0,192.0,FW,Harvey Barnes,Newcastle,Left Winger,35000000.0,35.0,Harvey Barnes,Newcastle,0.8308,10.359,1.5385,3.76,1.552,-0.0267,0.8837,0.593,0.2907,Undervalued
Calvin Bassey,ng NGA,DF,Fulham,24.0,1999.0,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,NGA,2024-25,Premier League,calvin bassey,fulham,DF,ng NGA,24.0,34.2,1934.0,2155.0,89.7,34171.0,11961.0,821.0,862.0,95.2,941.0,1003.0,93.8,140.0,228.0,61.4,0.0,0.1,0.4,-0.1,3.0,152.0,3.0,0.0,116.0,DF,24.0,1999.0,34.2,54.0,34.0,35.0,19.0,0.0,22.0,31.0,71.0,9.0,40.0,17.0,23.0,20.0,74.0,118.0,8.0,DF,24.0,1999.0,34.2,2463.0,324.0,1205.0,1151.0,132.0,19.0,2463.0,33.0,15.0,45.5,11.0,33.3,1571.0,8212.0,4940.0,39.0,20.0,5.0,34.0,8.0,1716.0,15.0,DF,Calvin Bassey,Fulham,Centre-Back,25000000.0,25.0,Calvin Bassey,Fulham,0.0585,4.6199,3.3333,3.0643,-0.6696,0.0135,0.2612,0.5784,-0.3172,Overvalued
