player_name,nation_raw,position,club,age,born,nineties,goals,shots,shots_on_target,SoT%,shots_per90,sot_per90,goals_per_shot,goals_per_sot,avg_shot_distance,free_kicks,penalty_goals,penalty_attempts,xg,npxg,npxg_per_shot,g_minus_xg,npg_minus_npxg,nation_code,season,league,player_key,club_key,position_group,nation,age_pass,nineties_pass,passes_completed_total,passes_attempted_total,pass_completion_total_pct,pass_total_distance,pass_progressive_distance,short_passes_completed,short_passes_attempted,short_pass_completion_pct,medium_passes_completed,medium_passes_attempted,medium_pass_completion_pct,long_passes_completed,long_passes_attempted,long_pass_completion_pct,assists,xag,xa,a_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,position_group_pass,age_def,born_def,nineties_def,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,tackles_vs_dribblers,dribbles_faced,tackle_success_pct,dribbles_lost,blocks,blocks_shots,blocks_passes,interceptions,tackles_plus_interceptions,clearances,errors_leading_to_shot,position_group_def,age_poss,born_poss,nineties_poss,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,takeons_attempted,takeons_succeeded,takeons_success_pct,takeons_tackled,takeons_tackled_pct,carries,carries_total_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,position_group_poss,player_name_tm,club_tm,position_tm,market_value_eur,market_value_millions,player_name_final,club_final,attacking_score,creative_score,defensive_score,performance_index,perf_z,value_z,perf_pct,value_pct,undervaluation_delta,valuation_category
Kobbie Mainoo,eng ENG,MF,Man Utd,19.0,2005.0,18.3,0,15,2,13.3,0.82,0.11,0.0,0.0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,ENG,2024-25,Premier League,kobbie mainoo,man utd,MF,eng ENG,19.0,18.3,723.0,836.0,86.5,9649.0,2346.0,452.0,490.0,92.2,192.0,219.0,87.7,31.0,45.0,68.9,0.0,1.6,1.8,-1.6,14.0,50.0,12.0,1.0,65.0,MF,19.0,2005.0,18.3,46.0,29.0,18.0,14.0,14.0,24.0,40.0,60.0,16.0,16.0,2.0,14.0,19.0,65.0,14.0,1.0,MF,19.0,2005.0,18.3,1061.0,25.0,197.0,587.0,287.0,36.0,1061.0,50.0,23.0,46.0,25.0,50.0,652.0,2850.0,1222.0,22.0,17.0,10.0,36.0,36.0,760.0,47.0,MF,Kobbie Mainoo,Man Utd,Central Midfield,50000000.0,50.0,Kobbie Mainoo,Man Utd,0.0383,5.5191,4.4262,3.547,-0.7647,0.6473,0.2017,0.8193,-0.6176,Overvalued
Orel Mangala,be BEL,MF,Everton,26.0,1998.0,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,BEL,2024-25,Premier League,orel mangala,everton,MF,be BEL,26.0,14.0,437.0,490.0,89.2,6998.0,1567.0,219.0,242.0,90.5,187.0,197.0,94.9,23.0,30.0,76.7,0.0,0.6,0.6,-0.6,8.0,50.0,8.0,1.0,34.0,MF,26.0,1998.0,14.0,16.0,8.0,3.0,11.0,2.0,5.0,8.0,62.5,3.0,8.0,3.0,5.0,21.0,37.0,24.0,1.0,MF,26.0,1998.0,14.0,621.0,22.0,133.0,335.0,157.0,13.0,621.0,24.0,14.0,58.3,9.0,37.5,298.0,1574.0,576.0,6.0,6.0,3.0,12.0,12.0,406.0,19.0,MF,Orel Mangala,Everton,Defensive Midfield,18000000.0,18.0,Orel Mangala,Everton,0.15,3.4286,3.2143,2.3807,-1.9223,-0.5889,0.0252,0.3277,-0.3025,Overvalued
Ryan Manning,ie IRL,"DF,MF",Southampton,28.0,1996.0,16.2,0,8,1,12.5,0.49,0.06,0.0,0.0,22.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3,IRL,2024-25,Premier League,ryan manning,southampton,DF,ie IRL,28.0,16.2,619.0,803.0,77.1,10360.0,3336.0,317.0,344.0,92.2,233.0,288.0,80.9,55.0,125.0,44.0,1.0,3.2,2.8,-2.2,34.0,33.0,12.0,8.0,35.0,DF,28.0,1996.0,16.2,28.0,17.0,16.0,10.0,2.0,14.0,26.0,53.8,12.0,20.0,11.0,9.0,17.0,45.0,47.0,0.0,DF,28.0,1996.0,16.2,968.0,72.0,260.0,397.0,321.0,22.0,968.0,36.0,11.0,30.6,16.0,44.4,483.0,2023.0,982.0,14.0,13.0,4.0,17.0,5.0,573.0,74.0,DF,Ryan Manning,Southampton,Left-Back,2800000.0,2.8,Ryan Manning,Southampton,0.0185,5.1235,4.0123,3.5469,-0.1226,-1.1739,0.5224,0.0896,0.4328,Undervalued
Omar Marmoush,eg EGY,"FW,MF",Man City,25.0,1999.0,13.1,7,49,17,34.7,3.75,1.3,0.14,0.41,18.6,7,0,0,5.5,5.5,0.11,1.5,1.5,EGY,2024-25,Premier League,omar marmoush,man city,MF,eg EGY,25.0,13.1,252.0,318.0,79.2,3443.0,849.0,164.0,193.0,85.0,69.0,88.0,78.4,9.0,16.0,56.3,0.0,2.8,2.1,-2.8,15.0,10.0,29.0,4.0,37.0,MF,25.0,1999.0,13.1,13.0,8.0,2.0,9.0,2.0,8.0,16.0,50.0,8.0,15.0,1.0,14.0,6.0,19.0,3.0,0.0,MF,25.0,1999.0,13.1,504.0,6.0,34.0,152.0,326.0,68.0,504.0,46.0,20.0,43.5,21.0,45.7,320.0,1975.0,960.0,29.0,20.0,15.0,45.0,19.0,361.0,78.0,MF,Omar Marmoush,Man City,Centre-Forward,50000000.0,50.0,Omar Marmoush,Man City,0.9542,6.1832,2.5954,3.5382,-0.7735,0.6473,0.1849,0.8193,-0.6345,Overvalued
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23.0,2001.0,25.4,8,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6,BRA,2024-25,Premier League,gabriel martinelli,arsenal,MF,br BRA,23.0,25.4,499.0,699.0,71.4,7113.0,1534.0,324.0,385.0,84.2,135.0,193.0,69.9,26.0,52.0,50.0,4.0,5.0,4.7,-1.0,40.0,11.0,37.0,15.0,52.0,MF,23.0,2001.0,25.4,23.0,15.0,9.0,6.0,8.0,7.0,23.0,30.4,16.0,15.0,0.0,15.0,5.0,28.0,19.0,0.0,MF,23.0,2001.0,25.4,994.0,17.0,102.0,247.0,660.0,182.0,994.0,109.0,33.0,30.3,60.0,55.0,670.0,4985.0,2620.0,124.0,33.0,64.0,50.0,38.0,752.0,289.0,MF,Gabriel Martinelli,Arsenal,Left Winger,55000000.0,55.0,Gabriel Martinelli,Arsenal,0.6063,8.5039,1.6929,4.0913,-0.2244,0.8405,0.4454,0.8739,-0.4286,Overvalued
Emiliano Martínez,ar ARG,GK,Aston Villa,31.0,1992.0,35.5,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,2024-25,Premier League,emiliano martinez,aston villa,GK,ar ARG,31.0,35.5,1091.0,1387.0,78.7,28659.0,17513.0,194.0,198.0,98.0,629.0,640.0,98.3,268.0,542.0,49.4,0.0,0.5,0.1,-0.5,2.0,27.0,0.0,0.0,4.0,GK,31.0,1992.0,35.5,3.0,3.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,17.0,6.0,GK,31.0,1992.0,35.5,1449.0,1095.0,1429.0,20.0,0.0,0.0,1449.0,1.0,1.0,100.0,0.0,0.0,889.0,4616.0,2936.0,0.0,0.0,0.0,1.0,0.0,784.0,0.0,GK,Emiliano Martínez,Aston Villa,Goalkeeper,20000000.0,20.0,Emiliano Martínez,Aston Villa,0.0,0.169,0.1127,0.107,1.3918,0.5133,0.8846,0.7115,0.1731,Fair Value
Lisandro Martínez,ar ARG,DF,Man Utd,26.0,1998.0,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7,ARG,2024-25,Premier League,lisandro martinez,man utd,DF,ar ARG,26.0,19.5,1200.0,1342.0,89.4,20292.0,7055.0,522.0,554.0,94.2,601.0,646.0,93.0,64.0,116.0,55.2,1.0,1.1,1.3,-0.1,9.0,91.0,18.0,2.0,117.0,DF,26.0,1998.0,19.5,40.0,24.0,25.0,12.0,3.0,21.0,36.0,58.3,15.0,22.0,8.0,14.0,32.0,72.0,57.0,1.0,DF,26.0,1998.0,19.5,1524.0,156.0,713.0,697.0,125.0,18.0,1524.0,7.0,6.0,85.7,1.0,14.3,1017.0,5141.0,3129.0,23.0,23.0,2.0,1.0,3.0,1069.0,7.0,DF,Lisandro Martínez,Man Utd,Centre-Back,40000000.0,40.0,Lisandro Martínez,Man Utd,0.1692,7.641,4.8205,4.7364,1.2258,0.8157,0.903,0.8321,0.0709,Fair Value
Pape Matar Sarr,sn SEN,MF,Tottenham,21.0,2002.0,21.3,3,34,13,38.2,1.6,0.61,0.09,0.23,20.9,0,0,0,3.7,3.7,0.11,-0.7,-0.7,SEN,2024-25,Premier League,pape matar sarr,tottenham,MF,sn SEN,21.0,21.3,889.0,1029.0,86.4,13609.0,3128.0,462.0,509.0,90.8,347.0,386.0,89.9,45.0,62.0,72.6,2.0,1.6,0.8,0.4,15.0,85.0,12.0,2.0,88.0,MF,21.0,2002.0,21.3,49.0,36.0,19.0,23.0,7.0,12.0,25.0,48.0,13.0,26.0,10.0,16.0,30.0,79.0,25.0,1.0,MF,21.0,2002.0,21.3,1253.0,47.0,274.0,699.0,302.0,28.0,1253.0,30.0,11.0,36.7,16.0,53.3,772.0,4547.0,1918.0,33.0,37.0,5.0,29.0,22.0,872.0,53.0,MF,Pape Matar Sarr,Tottenham,Central Midfield,32000000.0,32.0,Pape Matar Sarr,Tottenham,0.3146,6.385,4.9296,4.1272,-0.1888,-0.048,0.5042,0.6008,-0.0966,Fair Value
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27.0,1997.0,29.4,14,68,29,42.6,2.31,0.99,0.18,0.41,15.6,0,2,2,13.5,11.9,0.18,0.5,0.1,FRA,2024-25,Premier League,jean-philippe mateta,crystal palace,FW,fr FRA,27.0,29.4,291.0,447.0,65.1,3849.0,1016.0,176.0,232.0,75.9,83.0,130.0,63.8,7.0,23.0,30.4,2.0,3.2,2.3,-1.2,29.0,34.0,16.0,2.0,52.0,FW,27.0,1997.0,29.4,18.0,12.0,5.0,11.0,2.0,3.0,16.0,18.8,13.0,19.0,4.0,15.0,2.0,20.0,23.0,0.0,FW,27.0,1997.0,29.4,739.0,26.0,64.0,350.0,340.0,94.0,737.0,46.0,20.0,43.5,22.0,47.8,400.0,2143.0,1048.0,45.0,22.0,10.0,72.0,45.0,539.0,122.0,FW,Jean-Philippe Mateta,Crystal Palace,Centre-Forward,30000000.0,30.0,Jean-Philippe Mateta,Crystal Palace,0.9354,4.2857,1.3265,1.9796,-0.5158,-0.1904,0.3488,0.4767,-0.1279,Fair Value
Stephy Mavididi,eng ENG,FW,Leicester,26.0,1998.0,17.9,4,26,7,26.9,1.45,0.39,0.15,0.57,16.1,1,0,0,1.8,1.8,0.07,2.2,2.2,ENG,2024-25,Premier League,stephy mavididi,leicester,FW,eng ENG,26.0,17.9,460.0,613.0,75.0,6191.0,1429.0,286.0,314.0,91.1,124.0,184.0,67.4,18.0,43.0,41.9,1.0,2.6,3.3,-1.6,22.0,32.0,26.0,7.0,57.0,FW,26.0,1998.0,17.9,34.0,19.0,16.0,10.0,8.0,14.0,42.0,33.3,28.0,26.0,2.0,24.0,11.0,45.0,15.0,0.0,FW,26.0,1998.0,17.9,863.0,23.0,132.0,327.0,421.0,61.0,863.0,95.0,35.0,36.8,47.0,49.5,583.0,4343.0,2355.0,91.0,40.0,27.0,39.0,35.0,623.0,138.0,FW,Stephy Mavididi,Leicester,Left Winger,10000000.0,10.0,Stephy Mavididi,Leicester,0.324,9.4972,3.9665,3.4402,1.1806,-0.8455,0.8372,0.1279,0.7093,Undervalued
